"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4841","Login User with correct email and password","tests","Mon May 12 10:50:42 GMT 2025","passed","Mon May 12 10:50:47 GMT 2025","TestLoginUser","test_login_user","",""
"","4089","Register user","tests","Mon May 12 10:50:41 GMT 2025","passed","Mon May 12 10:50:46 GMT 2025","TestRegisterUser","test_register_user","",""
"","934","Login User with incorrect email and password","tests","Mon May 12 10:50:38 GMT 2025","passed","Mon May 12 10:50:39 GMT 2025","TestLoginUser","test_login_user","",""
"","2024","Register User with existing email","tests","Mon May 12 10:50:50 GMT 2025","passed","Mon May 12 10:50:52 GMT 2025","TestRegisterUser","test_register_user","",""
"","1383","Contact Us Form","tests","Mon May 12 10:50:38 GMT 2025","passed","Mon May 12 10:50:39 GMT 2025","TestContactUs","test_contact_us","",""
"","3181","Logout User","tests","Mon May 12 10:50:42 GMT 2025","passed","Mon May 12 10:50:45 GMT 2025","TestLoginUser","test_login_user","",""
