"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3705","Register user","tests","Mon May 12 08:34:56 GMT 2025","passed","Mon May 12 08:35:00 GMT 2025","TestRegisterUser","test_register_user","",""
"","1231","Login User with incorrect email and password","tests","Mon May 12 08:34:56 GMT 2025","passed","Mon May 12 08:34:57 GMT 2025","TestLoginUser","test_login_user","",""
"","3335","Logout User","tests","Mon May 12 08:34:59 GMT 2025","passed","Mon May 12 08:35:02 GMT 2025","TestLoginUser","test_login_user","",""
"","1744","Register User with existing email","tests","Mon May 12 08:35:06 GMT 2025","passed","Mon May 12 08:35:08 GMT 2025","TestRegisterUser","test_register_user","",""
"","5103","Login User with correct email and password","tests","Mon May 12 08:34:58 GMT 2025","passed","Mon May 12 08:35:03 GMT 2025","TestLoginUser","test_login_user","",""
