"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2937","Logout User","tests","Mon May 12 08:37:34 GMT 2025","passed","Mon May 12 08:37:37 GMT 2025","TestLoginUser","test_login_user","",""
"","4014","Register user","tests","Mon May 12 08:37:32 GMT 2025","passed","Mon May 12 08:37:36 GMT 2025","TestRegisterUser","test_register_user","",""
"","991","Login User with incorrect email and password","tests","Mon May 12 08:37:31 GMT 2025","passed","Mon May 12 08:37:32 GMT 2025","TestLoginUser","test_login_user","",""
"","3399","Login User with correct email and password","tests","Mon May 12 08:37:35 GMT 2025","passed","Mon May 12 08:37:38 GMT 2025","TestLoginUser","test_login_user","",""
"","1661","Register User with existing email","tests","Mon May 12 08:37:41 GMT 2025","passed","Mon May 12 08:37:42 GMT 2025","TestRegisterUser","test_register_user","",""
