"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2553","Register User with existing email","tests","Mon May 12 14:46:03 GMT 2025","passed","Mon May 12 14:46:06 GMT 2025","TestRegisterUser","test_register_user","",""
"","635","Verify Test Cases Page","tests","Mon May 12 14:46:08 GMT 2025","passed","Mon May 12 14:46:08 GMT 2025","TestCasesPage","test_testcases","",""
"","5845","Search Product","tests","Mon May 12 14:45:59 GMT 2025","passed","Mon May 12 14:46:05 GMT 2025","TestProducts","test_products","",""
"","2609","Verify Subscription in home page","tests","Mon May 12 14:46:04 GMT 2025","passed","Mon May 12 14:46:07 GMT 2025","TestSubscription","test_subscription","",""
"","2005","Contact Us Form","tests","Mon May 12 14:45:53 GMT 2025","passed","Mon May 12 14:45:55 GMT 2025","TestContactUs","test_contact_us","",""
"","5600","Register user","tests","Mon May 12 14:45:51 GMT 2025","passed","Mon May 12 14:45:57 GMT 2025","TestRegisterUser","test_register_user","",""
"","6197","Login User with correct email and password","tests","Mon May 12 14:45:59 GMT 2025","passed","Mon May 12 14:46:06 GMT 2025","TestLoginUser","test_login_user","",""
"","1188","Login User with incorrect email and password","tests","Mon May 12 14:45:52 GMT 2025","passed","Mon May 12 14:45:53 GMT 2025","TestLoginUser","test_login_user","",""
"","5083","Verify All Products and product detail page","tests","Mon May 12 14:45:51 GMT 2025","passed","Mon May 12 14:45:56 GMT 2025","TestProducts","test_products","",""
"","4691","Logout User","tests","Mon May 12 14:45:58 GMT 2025","passed","Mon May 12 14:46:02 GMT 2025","TestLoginUser","test_login_user","",""
