"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3483","Register user","tests","Mon May 12 11:55:51 GMT 2025","passed","Mon May 12 11:55:55 GMT 2025","TestRegisterUser","test_register_user","",""
"","5438","Login User with correct email and password","tests","Mon May 12 11:55:49 GMT 2025","passed","Mon May 12 11:55:54 GMT 2025","TestLoginUser","test_login_user","",""
"","1586","Login User with incorrect email and password","tests","Mon May 12 11:55:47 GMT 2025","passed","Mon May 12 11:55:48 GMT 2025","TestLoginUser","test_login_user","",""
"","2357","Logout User","tests","Mon May 12 11:55:51 GMT 2025","passed","Mon May 12 11:55:53 GMT 2025","TestLoginUser","test_login_user","",""
"","2507","Verify Test Cases Page","tests","Mon May 12 11:55:50 GMT 2025","passed","Mon May 12 11:55:53 GMT 2025","TestCasesPage","test_testcases","",""
"","1075","Register User with existing email","tests","Mon May 12 11:55:57 GMT 2025","passed","Mon May 12 11:55:59 GMT 2025","TestRegisterUser","test_register_user","",""
"","2423","Contact Us Form","tests","Mon May 12 11:55:47 GMT 2025","passed","Mon May 12 11:55:50 GMT 2025","TestContactUs","test_contact_us","",""
