"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","900","Login User with incorrect email and password","tests","Mon May 12 07:26:22 GMT 2025","passed","Mon May 12 07:26:23 GMT 2025","TestLoginUser","test_login_user","",""
"","3157","Register user","tests","Mon May 12 07:26:22 GMT 2025","passed","Mon May 12 07:26:25 GMT 2025","TestRegisterUser","test_register_user","",""
"","3924","Login User with correct email and password","tests","Mon May 12 07:26:24 GMT 2025","passed","Mon May 12 07:26:28 GMT 2025","TestLoginUser","test_login_user","",""
