"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1336","Login User with incorrect email and password","tests","Mon May 12 13:16:30 GMT 2025","passed","Mon May 12 13:16:31 GMT 2025","TestLoginUser","test_login_user","",""
"","4471","Verify All Products and product detail page","tests","Mon May 12 13:16:29 GMT 2025","passed","Mon May 12 13:16:34 GMT 2025","TestProducts","test_products","",""
"","5133","Login User with correct email and password","tests","Mon May 12 13:16:36 GMT 2025","passed","Mon May 12 13:16:41 GMT 2025","TestLoginUser","test_login_user","",""
"","2209","Register User with existing email","tests","Mon May 12 13:16:34 GMT 2025","passed","Mon May 12 13:16:36 GMT 2025","TestRegisterUser","test_register_user","",""
"","4296","Register user","tests","Mon May 12 13:16:36 GMT 2025","passed","Mon May 12 13:16:40 GMT 2025","TestRegisterUser","test_register_user","",""
"","1965","Contact Us Form","tests","Mon May 12 13:16:30 GMT 2025","passed","Mon May 12 13:16:32 GMT 2025","TestContactUs","test_contact_us","",""
"","3550","Logout User","tests","Mon May 12 13:16:36 GMT 2025","passed","Mon May 12 13:16:40 GMT 2025","TestLoginUser","test_login_user","",""
"","926","Verify Test Cases Page","tests","Mon May 12 13:16:38 GMT 2025","passed","Mon May 12 13:16:39 GMT 2025","TestCasesPage","test_testcases","",""
