"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1493","Login User with incorrect email and password","tests","Mon May 12 10:59:55 GMT 2025","passed","Mon May 12 10:59:56 GMT 2025","TestLoginUser","test_login_user","",""
"","1740","Register User with existing email","tests","Mon May 12 11:00:07 GMT 2025","passed","Mon May 12 11:00:08 GMT 2025","TestRegisterUser","test_register_user","",""
"","3003","Logout User","tests","Mon May 12 10:59:58 GMT 2025","passed","Mon May 12 11:00:01 GMT 2025","TestLoginUser","test_login_user","",""
"","1954","Contact Us Form","tests","Mon May 12 10:59:55 GMT 2025","passed","Mon May 12 10:59:57 GMT 2025","TestContactUs","test_contact_us","",""
"","3512","Register user","tests","Mon May 12 10:59:58 GMT 2025","passed","Mon May 12 11:00:02 GMT 2025","TestRegisterUser","test_register_user","",""
"","4708","Login User with correct email and password","tests","Mon May 12 10:59:59 GMT 2025","passed","Mon May 12 11:00:03 GMT 2025","TestLoginUser","test_login_user","",""
