"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5110","Verify All Products and product detail page","tests","Mon May 12 14:06:51 GMT 2025","passed","Mon May 12 14:06:56 GMT 2025","TestProducts","test_products","",""
"","3691","Register user","tests","Mon May 12 14:06:51 GMT 2025","passed","Mon May 12 14:06:55 GMT 2025","TestRegisterUser","test_register_user","",""
"","1894","Contact Us Form","tests","Mon May 12 14:06:51 GMT 2025","passed","Mon May 12 14:06:53 GMT 2025","TestContactUs","test_contact_us","",""
"","4259","Logout User","tests","Mon May 12 14:06:58 GMT 2025","passed","Mon May 12 14:07:02 GMT 2025","TestLoginUser","test_login_user","",""
"","761","Verify Test Cases Page","tests","Mon May 12 14:07:04 GMT 2025","passed","Mon May 12 14:07:04 GMT 2025","TestCasesPage","test_testcases","",""
"","4254","Search Product","tests","Mon May 12 14:06:59 GMT 2025","passed","Mon May 12 14:07:03 GMT 2025","TestProducts","test_products","",""
"","2134","Register User with existing email","tests","Mon May 12 14:07:00 GMT 2025","passed","Mon May 12 14:07:02 GMT 2025","TestRegisterUser","test_register_user","",""
"","1198","Login User with incorrect email and password","tests","Mon May 12 14:06:51 GMT 2025","passed","Mon May 12 14:06:52 GMT 2025","TestLoginUser","test_login_user","",""
"","5698","Login User with correct email and password","tests","Mon May 12 14:06:59 GMT 2025","passed","Mon May 12 14:07:05 GMT 2025","TestLoginUser","test_login_user","",""
