"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5368","Login User with correct email and password","tests","Mon May 12 14:04:33 GMT 2025","passed","Mon May 12 14:04:39 GMT 2025","TestLoginUser","test_login_user","",""
"","4766","Search Product","tests","Mon May 12 14:04:31 GMT 2025","passed","Mon May 12 14:04:36 GMT 2025","TestProducts","test_products","",""
"","3419","Logout User","tests","Mon May 12 14:04:34 GMT 2025","passed","Mon May 12 14:04:37 GMT 2025","TestLoginUser","test_login_user","",""
"","965","Verify Test Cases Page","tests","Mon May 12 14:04:38 GMT 2025","passed","Mon May 12 14:04:39 GMT 2025","TestCasesPage","test_testcases","",""
"","1704","Login User with incorrect email and password","tests","Mon May 12 14:04:25 GMT 2025","passed","Mon May 12 14:04:27 GMT 2025","TestLoginUser","test_login_user","",""
"","2364","Register User with existing email","tests","Mon May 12 14:04:36 GMT 2025","passed","Mon May 12 14:04:39 GMT 2025","TestRegisterUser","test_register_user","",""
"","5176","Register user","tests","Mon May 12 14:04:24 GMT 2025","passed","Mon May 12 14:04:30 GMT 2025","TestRegisterUser","test_register_user","",""
"","4769","Verify All Products and product detail page","tests","Mon May 12 14:04:24 GMT 2025","passed","Mon May 12 14:04:29 GMT 2025","TestProducts","test_products","",""
"","2034","Contact Us Form","tests","Mon May 12 14:04:25 GMT 2025","passed","Mon May 12 14:04:27 GMT 2025","TestContactUs","test_contact_us","",""
